Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,rate
Barbie in A Mermaid Tale,2010,all,,1,0,0,0,0,Adam Wood,"Animation,Family,Fantasy",United States,English,75,Intermediate
Barbie in A Mermaid Tale 2,2012,all,,0,1,0,0,0,William Lau,"Animation,Family","Canada,United States",English,73,Intermediate
Barbie in Princess Power,2015,all,,1,0,0,0,0,Ezekiel Norton,"Animation,Family,Fantasy",United States,English,73,Intermediate
Barbie in Rock 'N Royals,2015,7+,,1,0,0,0,0,"Michael Goguen,Karen J. Lloyd","Animation,Family",United States,English,84,Intermediate
Barbie Presents: Thumbelina,2009,all,,0,1,0,0,0,Conrad Helten,"Animation,Family","Canada,United States",English,75,Intermediate
Barbie Video Game Hero,2017,,,1,0,0,0,0,"Conrad Helten,Ezekiel Norton,Michael Goguen",Animation,United States,English,72,Low
Barbie: A Fairy Secret,2011,all,,1,0,0,0,0,William Lau,"Animation,Family,Fantasy",United States,English,72,Intermediate
Barbie: A Perfect Christmas,2011,all,,0,1,0,0,0,Mark Baldo,"Animation,Family",United States,English,74,Intermediate
Barbie: Dolphin Magic,2017,all,,1,0,0,0,0,Conrad Helten,"Animation,Adventure,Family,Fantasy","United States,Canada",English,63,Intermediate
Barbie: Princess Charm School,2011,all,,1,0,0,0,0,Ezekiel Norton,"Animation,Family,Fantasy","United States,Canada",English,81,Intermediate
Barbie: Spy Squad,2016,all,,1,0,0,0,0,"Michael Goguen,Conrad Helten","Animation,Family","United States,Canada",,75,Intermediate
Barbie: Star Light Adventure,2016,all,,1,0,0,0,0,"Andrew Tan,Michael Goguen","Animation,Family,Sci-Fi",United States,English,79,Intermediate
Barbie: The Pearl Princess,2013,all,,0,1,0,0,0,Ezekiel Norton,"Animation,Family",,English,73,Intermediate
Barbie: The Princess & The Popstar,2012,all,,1,0,0,0,0,Ezekiel Norton,"Animation,Family,Musical",United States,English,86,Intermediate
Barbra: The Music ... The Mem'ries ... The Magic!,2017,,,1,0,0,0,0,"Jim Gable,Barbra Streisand",Music,United States,English,110,High
Barcelona: A Love Untold,2016,7+,,1,0,0,0,0,Olivia M. Lamasan,"Drama,Romance",Philippines,"Filipino,Tagalog,Spanish",132,Intermediate
Bare,2015,,50%,0,1,0,0,0,Natalia Leite,"Drama,Romance",United States,English,90,Low
Bareilly's Barfi,2017,,86%,1,0,0,0,0,Ashwiny Iyer Tiwari,"Comedy,Romance",India,Hindi,116,High
Barely Lethal,2015,13+,26%,1,0,0,0,0,Kyle Newman,"Action,Adventure,Comedy",United States,English,96,Low
Barfi!,2012,all,86%,1,0,0,0,0,Anurag Basu,"Comedy,Drama,Romance",India,Hindi,151,High
Barista,2015,,,0,0,1,0,0,Rock Baijnauth,Documentary,United States,English,103,Intermediate
Bark,2002,18+,14%,0,0,1,0,0,Amanda Kramer,"Short,Comedy,Drama,Mystery,Thriller","United States,Canada",English,11,Low
Barking Dogs Never Bite,2000,,67%,0,1,0,0,0,Bong Joon Ho,Comedy,South Korea,Korean,110,High
Barn Burning,1980,,,0,0,1,0,0,Peter Werner,"Drama,Short,Family",United States,English,41,Intermediate
Barney's Night Before Christmas,1999,all,,0,1,0,0,0,Ben Vaughn,Family,United States,English,57,Low
Barnum!,1986,,,0,0,1,0,0,"Peter Coe,Terry Hughes","Biography,Musical",United Kingdom,English,113,High
Barrio Tales,2012,13+,,0,0,1,0,0,Jarret Tarnol,Horror,"United States,Mexico","English,Spanish",84,Low
Barry,2016,,80%,1,0,0,0,0,,"Action,Comedy,Crime,Drama",United States,English,30,Intermediate
Bartita,2012,,,1,0,0,0,0,Sherif Mandour,"Drama,Mystery,Thriller",Egypt,Arabic,85,Intermediate
Barça Dreams,2015,,,1,0,0,0,0,Jordi Llompart,"Documentary,Sport",Spain,"Spanish,Catalan,English",120,High
Baskın,2015,,79%,0,1,0,0,0,Gareth Evans,"Action,Thriller","Indonesia,France,United States",Indonesian,101,Intermediate
Bathinda Express,2016,7+,,1,0,0,0,0,Deep Joshi,Drama,India,Punjabi,,Intermediate
Bathory: Countess of Blood,2008,18+,,0,0,1,0,0,Juraj Jakubisko,"Biography,Drama,Fantasy,History","Slovakia,Hungary,Czech Republic,United Kingdom,France",English,141,Intermediate
Bathtubs Over Broadway,2018,13+,100%,1,0,0,0,0,Dava Whisenant,"Documentary,Comedy,Music",United States,English,87,High
Batman & Bill,2017,16+,,0,1,0,0,0,"Don Argott,Sheena M. Joyce","Documentary,Animation,Mystery",United States,English,93,High
Batman Begins,2005,13+,84%,0,1,0,0,0,Christopher Nolan,"Action,Adventure","United States,United Kingdom","English,Mandarin",140,High
Battle,2018,18+,,1,0,0,0,0,Katarina Launing,"Drama,Music,Romance","Norway,Denmark,Netherlands,Sweden","Norwegian,English",95,Intermediate
Battle Beyond the Stars,1980,7+,45%,0,0,1,0,0,"Jimmy T. Murakami,Roger Corman","Action,Adventure,Sci-Fi",United States,English,104,Intermediate
Battle Drone,2018,13+,,1,0,0,0,0,Mitch Gould,"Action,Sci-Fi",United States,English,93,Low
Battle for Sevastopol,2015,,,0,0,1,0,0,Sergey Mokritskiy,"Biography,Drama,Romance,War","Ukraine,Russia","Russian,English,Ukrainian",110,High
Battle in Seattle,2007,18+,56%,0,0,1,0,0,Stuart Townsend,"Action,Drama","Canada,United States,Germany",English,99,Intermediate
Battle of Blood Island,1960,,,0,0,1,0,0,Joel Rapp,"Drama,War",United States,English,64,Low
Battle of Britain,1969,all,67%,0,0,1,0,0,Guy Hamilton,"Action,Drama,History,War",United Kingdom,"English,German,Polish,French",132,High
Battle: Los Angeles,2011,13+,36%,1,0,0,0,0,Jonathan Liebesman,"Action,Sci-Fi",United States,"English,Ukrainian",116,Intermediate
Battles Without Honor and Humanity,1973,,,0,0,1,0,0,Kinji Fukasaku,"Crime,Drama",Japan,Japanese,99,High
Battles Without Honor and Humanity: Deadly Fight in Hiroshima,1973,,,0,0,1,0,0,Kinji Fukasaku,"Action,Crime,Drama,History",Japan,Japanese,100,High
Battles Without Honor and Humanity: Final Episode,1974,,,0,0,1,0,0,Kinji Fukasaku,"Action,Crime,Drama",Japan,Japanese,100,High
Battles Without Honor and Humanity: Police Tactics,1974,,,0,0,1,0,0,Kinji Fukasaku,"Action,Crime,Drama",Japan,Japanese,101,High
Battles Without Honor and Humanity: Proxy War,1973,,,0,0,1,0,0,Kinji Fukasaku,"Action,Drama",Japan,Japanese,119,High
Battlespace,2006,7+,,0,0,1,0,0,Neil Johnson,"Action,Sci-Fi",Australia,English,86,Low
Bawarchi,1972,,,1,0,1,0,0,Hrishikesh Mukherjee,"Comedy,Musical,Drama,Family",India,Hindi,130,High
Bayonet,2018,,80%,1,0,0,0,0,Kyzza Terrazas,Drama,"Mexico,Finland","English,Spanish,Finnish",101,Intermediate
Bazaar,1982,18+,,1,0,0,0,0,Gauravv K. Chawla,"Crime,Drama,Thriller",India,Hindi,137,High
Be My Valentine,2013,all,,0,0,1,0,0,Graeme Campbell,"Comedy,Family,Romance",Canada,English,83,Intermediate
Be Somebody,2016,7+,,1,0,0,0,0,Joshua Caldwell,"Comedy,Drama,Romance",United States,English,88,Intermediate
Beach Rats,2017,18+,85%,0,1,0,0,0,Eliza Hittman,Drama,United States,English,98,Intermediate
Beacon Point,2016,,,0,0,1,0,0,Eric Blue,Thriller,United States,English,85,Intermediate
Beak & Brain,2013,,,1,0,0,0,0,"Volker Arzt,Angelika Sigl",Documentary,Germany,German,,High
Bear Has a Story to Tell,2017,,,0,0,1,0,0,"Ed Mironiuk,Kris Tercek","Animation,Short",United States,English,9,
Bear Snores On,2009,,,0,0,1,0,0,,"Animation,Comedy,Family,Fantasy,Music",,,,
Bear with Us,2016,18+,,0,0,1,0,0,William J. Stribling,Comedy,United States,English,94,High
Beary Tales,2013,,,1,0,0,0,0,"Hira Klatt,Marcella Muller,Angelika Sigl",Documentary,United States,English,51,High
Beast of Blood,1970,,,0,0,1,0,0,Eddie Romero,"Adventure,Horror",Philippines,English,90,Low
Beast of Burden,2018,18+,25%,0,0,1,0,0,Jesper Ganslandt,"Action,Crime,Drama,Thriller",United States,"English,Spanish",89,Low
Beast Stalker,2008,,,1,0,0,0,0,Dante Lam,"Action,Thriller",Hong Kong,Cantonese,109,Intermediate
Beasts of No Nation,2015,,91%,1,0,0,0,0,Cary Joji Fukunaga,"Drama,War",United States,"English,Akan",137,High
Beat Bugs: All Together Now,2017,all,,1,0,0,0,0,"Josh Wakely,Pablo De La Torre","Animation,Short,Adventure,Comedy,Family,Fantasy,Musical",United States,English,,Intermediate
Beat Girl,1960,,,0,0,1,0,0,Edmond T. Gréville,Drama,United Kingdom,English,89,Intermediate
Beat the Devil,1953,,75%,0,0,1,0,0,John Huston,"Action,Adventure,Comedy,Crime,Drama,Romance","United Kingdom,Italy,United States","English,Italian",89,Intermediate
Beatles Stories,2011,,,0,0,1,0,0,Seth Swirsky,"Documentary,Music",United States,English,84,High
Beats,2019,18+,,1,0,0,0,0,Brian Welsh,"Comedy,Crime,Drama,Music",United Kingdom,English,101,Intermediate
Beau Revel,1921,,,0,0,1,0,0,John Griffith Wray,Drama,United States,,69,Low
Beauties of the Night,2016,,,1,0,0,0,0,René Clair,"Comedy,Fantasy,Music,Romance","France,Italy",French,87,High
Beautiful Boy,2018,18+,69%,0,0,1,0,0,Felix van Groeningen,"Biography,Drama",United States,English,120,High
Beautiful Darling,2010,,77%,0,0,1,0,0,James Rasin,Documentary,United States,English,85,High
Beautiful Destroyer,1986,,,0,0,1,0,0,"Christopher Dorrah,Tracy Wren","Action,Drama,Romance,Thriller",United States,English,115,High
Beautiful Losers,2008,,62%,0,0,1,0,0,"Aaron Rose,Joshua Leonard","Documentary,Music",United States,English,90,High
Beautiful People,2014,,,0,0,1,0,0,Christina Wayne,"Crime,Drama,Romance","United States,Canada",English,94,Low
Beautiful Something,2015,,57%,0,0,1,0,0,Joseph Graham,"Drama,Romance",United States,English,97,Intermediate
Beauty and the Beast: The Enchanted Christmas,1997,all,13%,0,0,0,1,0,Andrew Knight,"Animation,Family,Fantasy,Music,Musical","Canada,United States",English,72,Intermediate
Beauty and the Bestie,2015,,,1,0,0,0,0,Wenn V. Deramas,"Action,Comedy,Drama",Philippines,"Filipino,Tagalog,Japanese,Korean",119,Low
Beauty Is Embarrassing,2012,,91%,0,0,1,0,0,Neil Berkeley,"Documentary,Biography,Comedy",United States,English,88,High
Beauty Mark,2017,,100%,0,0,1,0,0,Harris Doran,Drama,United States,English,87,Intermediate
Beaver Trilogy Part IV,2015,,,0,0,1,0,0,Brad Besser,Documentary,United States,English,85,High
Because of Soccer,2008,,,1,0,0,0,0,"Agasyah Karim,Khalid Kashogi","Comedy,Sport",Indonesia,Indonesian,,
Because of Winn-Dixie,2005,7+,55%,0,0,0,1,0,Wayne Wang,"Comedy,Drama,Family",United States,English,106,Intermediate
Because We're Heading Out,2016,,,1,0,0,0,0,Khaled El Halafawy,Comedy,Egypt,Arabic,,Low
Becoming,2020,7+,,1,0,0,0,0,Nadia Hallgren,Documentary,United States,English,89,Intermediate
Becoming Astrid,2018,,96%,0,0,1,0,0,Pernille Fischer Christensen,"Biography,Drama","Sweden,Denmark","Swedish,Danish",123,High
Becoming Barack,2009,,,0,0,1,0,0,Robert Yuhas,Documentary,United States,English,60,Low
Becoming Bond,2017,18+,81%,0,1,0,0,0,Josh Greenbaum,"Documentary,Biography,Comedy,History",United States,English,95,High
Becoming Cary Grant,2017,7+,86%,0,0,1,0,0,Mark Kidel,"Documentary,Biography","France,United States",English,85,Intermediate
Becoming Redwood,2012,18+,,0,0,1,0,0,Jesse James Miller,Drama,Canada,English,99,Intermediate
Becoming Zlatan,2016,all,,0,0,1,0,0,"Fredrik Gertten,Magnus Gertten","Documentary,Biography,Sport","Sweden,Netherlands,Italy","Swedish,English,Dutch,Italian",100,Intermediate
Bedeviled,2017,18+,,0,0,1,0,0,"Abel Vang,Burlee Vang","Horror,Thriller",United States,English,91,Low
Bedevilled,2010,,,0,0,1,0,0,Cheol-soo Jang,"Drama,Horror,Thriller",South Korea,Korean,115,High
Bedknobs and Broomsticks,1971,all,65%,0,0,0,1,0,"Robert Stevenson,Ward Kimball","Animation,Adventure,Comedy,Family,Fantasy,Musical",United States,"English,German",117,High
Bedrooms and Hallways,1998,,69%,0,0,1,0,0,Rose Troche,"Comedy,Romance",United Kingdom,English,92,Intermediate
Bedtime Lullabies,2017,,,0,0,1,0,0,,Family,United Kingdom,English,70,
Bedtime Stories,2008,7+,26%,0,0,0,1,0,Adam Shankman,"Comedy,Family,Fantasy,Romance",United States,English,99,Intermediate
Bee Movie,2007,7+,50%,1,0,0,0,0,"Simon J. Smith,Steve Hickner","Animation,Adventure,Comedy,Family","United States,Australia",English,91,Intermediate
Been So Long,2018,,100%,1,0,0,0,0,Tinge Krishnan,"Drama,Musical,Romance",,,100,Low
Beers of Joy,2019,,,0,1,0,0,0,"David Swift,Scott Owen,David Swift",Documentary,United States,English,118,High
Befikre,2016,13+,30%,0,0,1,0,0,Aditya Chopra,"Comedy,Drama,Romance",India,Hindi,130,Low
Before I Die,2017,,,0,0,1,0,0,Peter Bogdanovich,"Crime,Drama,Thriller",United States,English,90,Intermediate
Before I Disappear,2014,,37%,0,0,1,0,0,Shawn Christensen,Drama,"United States,United Kingdom",English,93,High
Before I Do,2018,,,0,0,1,0,0,Udo Ebulu,"Short,Drama",United States,English,22,
Before I Go to Sleep,2014,18+,37%,0,1,0,0,0,Rowan Joffe,"Drama,Horror,Mystery,Thriller","United Kingdom,United States,France,Sweden",English,92,Intermediate
Before I Wake,2016,13+,61%,1,0,0,0,0,Mike Flanagan,"Drama,Fantasy,Horror,Thriller",United States,English,97,Intermediate
Before the Flood,2016,7+,74%,0,0,0,1,0,Fisher Stevens,Documentary,United States,English,96,High
Before the Flying Circus,2008,,,1,0,0,0,0,Will Yapp,Documentary,United Kingdom,English,55,High
Before We Vanish,2017,18+,80%,0,1,0,0,0,Kiyoshi Kurosawa,"Drama,Sci-Fi",Japan,Japanese,129,Intermediate
Beggars' Oasis,2015,,,0,0,1,0,0,,,,,,
Begum Jaan,2017,18+,10%,0,0,1,0,0,Srijit Mukherji,"Action,Drama,History",India,Hindi,128,Intermediate
Behind Green Lights,1946,,,0,0,1,0,0,Otto Brower,"Drama,Film-Noir,Mystery",United States,English,64,Intermediate
Behind the Candelabra,2013,18+,95%,0,0,1,0,0,Steven Soderbergh,"Biography,Drama,Music,Romance",United States,English,118,High
Behind 'The Cove',2015,,,1,0,0,0,0,Keiko Yagi,"Documentary,History","Japan,United States","Japanese,English",110,Low
Behind the Curtain: Todrick Hall,2017,,,1,0,0,0,0,Katherine Fairfax Wright,Documentary,United States,English,100,Intermediate
Behind the Curve,2018,16+,89%,1,0,0,0,0,Daniel J. Clark,Documentary,United States,English,96,Intermediate
Behind the Mask: The Rise of Leslie Vernon,2006,18+,76%,0,0,1,0,0,Scott Glosserman,"Comedy,Horror,Thriller",United States,English,92,Intermediate
Behind the Race to the Moon,2002,,,0,0,1,0,0,,,,,51,
Behold the Earth,2017,,,0,0,1,0,0,David Conover,Documentary,United States,English,63,
Beiimaan Love,2016,13+,,1,0,1,0,0,Rajeev Chaudhari,"Drama,Romance,Thriller",India,"Hindi,English",120,Low
Being AP,2015,13+,100%,1,0,0,0,0,Anthony Wonke,"Documentary,Sport",United Kingdom,English,103,Intermediate
Being Elmo: A Puppeteer's Journey,2011,7+,95%,1,0,0,0,0,"Constance Marks,Philip Shane",Documentary,United States,English,80,High
Being Ginger,2013,,92%,0,0,1,0,0,Scott P. Harris,Documentary,United Kingdom,English,69,Intermediate
Being Napoleon,2018,,,1,0,0,0,0,"Jesse Handsher,Olivier Roland",Documentary,United States,"English,French",88,Intermediate
Bekia,2018,,,1,0,0,0,0,Joe Cornish,"Action,Adventure,Family,Fantasy","United Kingdom,United States",English,120,Low
Bela Kiss: Prologue,2013,18+,,0,0,1,0,0,Lucien Förstner,"Horror,Mystery,Thriller",Germany,"German,English,Russian",106,Low
Belgica,2016,,57%,1,0,0,0,0,Felix van Groeningen,Drama,"Belgium,France","Flemish,Dutch",127,Intermediate
Belief: The Possession of Janet Moses,2015,,,1,0,0,0,0,David Stubbs,"Documentary,Crime,Drama,Horror,Mystery",New Zealand,English,89,Intermediate
Believer,2018,7+,64%,0,0,1,0,0,Hae-Young Lee,"Action,Crime,Thriller",South Korea,Korean,123,High
Belle and Sebastian,2013,,91%,0,0,1,0,0,Nicolas Vanier,"Adventure,Drama,Family",France,"French,German",104,Intermediate
Belle of the Yukon,1944,,,0,0,1,0,0,William A. Seiter,"Comedy,Musical,Romance,Western",United States,English,83,Low
Belle's Magical World,1998,all,17%,0,0,0,1,0,"Bob Kline,Cullen Blaine,Dale Case,Daniel de la Vega,Barbara Dourmaskin-Case,Rick Leon,Burt Medall,Mitch Rochon","Animation,Comedy,Family,Fantasy,Musical,Romance",United States,English,92,Low
Bellflower,2011,18+,73%,0,0,1,0,0,Evan Glodell,"Action,Drama,Romance",United States,English,106,Intermediate
Belli Don,2018,,,0,0,1,0,0,"Emilio Martínez Lázaro","Comedy,Romance",Spain,"Basque,Spanish,Catalan",99,
Bells of San Angelo,1947,,,0,0,1,0,0,William Witney,Western,United States,English,78,Intermediate
Belmonte,2019,,92%,1,0,0,0,0,Federico Veiroj,"Comedy,Drama","Uruguay,Spain,Mexico",Spanish,74,Intermediate
Belonging,2004,,,0,0,1,0,0,Burak Cevik,"Crime,Drama,Romance","Turkey,Canada,France",Turkish,73,High
Beloved Sisters,2014,,72%,0,0,1,0,0,Dominik Graf,"Drama,History,Romance","Germany,Austria,Switzerland","German,French",138,Intermediate
Below Her Mouth,2016,,22%,1,0,0,0,0,April Mullen,"Drama,Romance",Canada,English,94,Intermediate
Ben Hur,2003,,,0,0,1,0,0,William Wyler,"Adventure,Drama,History",United States,English,212,High
Ben Is Back,2018,18+,82%,0,1,0,0,0,Peter Hedges,Drama,United States,English,103,Intermediate
Ben X,2007,,68%,0,0,1,0,0,Nic Balthazar,"Drama,Thriller","Belgium,Netherlands","Flemish,Dutch",93,High
Bend It Like Beckham,2002,13+,85%,0,1,0,0,0,Gurinder Chadha,"Comedy,Drama,Romance,Sport","United Kingdom,Germany,United States","English,Punjabi,Hindi,German",112,Intermediate
Bending Colours,2012,,,0,0,1,0,0,Kai Neville,"Documentary,Action,Adventure,Sport","Australia,Indonesia,Reunion,South Africa,United States",English,38,Intermediate
Beneath,2013,18+,33%,0,0,1,0,0,Larry Fessenden,"Horror,Sci-Fi,Thriller",United States,English,90,Low
Beneath Alcatraz,1999,,,0,0,1,0,0,,,,,,
Beneath Clouds,2002,,,0,0,1,0,0,Ivan Sen,"Drama,Romance",Australia,English,90,High
Beneath Hill 60,2010,18+,85%,0,0,1,0,0,Jeremy Sims,"Drama,History,War",Australia,"English,German",122,High
Beneath the Darkness,2012,18+,4%,0,1,1,0,0,"Barbara Peeters,Jimmy T. Murakami","Horror,Sci-Fi",United States,English,80,Low
Beneath the Harvest Sky,2013,,62%,0,0,1,0,0,"Aron Gaudet,Gita Pullapilly","Crime,Drama,Romance",United States,English,116,Intermediate
Beneath the Helmet,2014,,,0,0,1,0,0,Wayne Kopping,"Documentary,Action,Biography,Drama","United States,Israel","English,Hebrew",80,High
Beneath The Leaves,2019,18+,20%,1,0,0,0,0,Adam Marino,Thriller,United States,English,90,Low
Bengal Tiger,2015,,,0,0,1,0,0,Sampath Nandi,"Action,Comedy",India,Telugu,145,Low
Benjamin,2019,18+,,0,1,0,0,0,Simon Amstell,"Comedy,Romance",United Kingdom,English,85,Low
Benjamin Troubles,2017,,,0,0,1,0,0,Kai Ephron,"Drama,Romance,Thriller","United States,Mexico",English,95,High
Benji,2018,7+,60%,1,0,0,0,0,Brandon Camp,"Crime,Drama,Family","United Arab Emirates,United States",English,87,Intermediate
Benji the Hunted,1987,all,50%,0,0,0,1,0,Joe Camp,"Adventure,Family",United States,English,88,Intermediate
Benji: Off the Leash!,2004,7+,33%,0,0,1,0,0,Joe Camp,"Drama,Family",United States,English,97,Low
Benji's Very Own Christmas Story,1978,all,,1,0,0,0,0,Joe Camp,"Family,Short",United States,English,25,Low
Bennett's War,2019,13+,50%,1,0,0,0,0,Alex Ranarivelo,Sport,United States,English,94,Intermediate
Benny Hill's World Tour: New York!,1991,,,0,0,1,0,0,Dennis Kirkland,Comedy,"United Kingdom,United States",English,60,High
Bent,2018,18+,,0,0,1,0,0,Bobby Moresco,"Crime,Thriller","Spain,United States",English,96,Low
Beowulf & Grendel,2005,18+,47%,0,0,1,0,0,Sturla Gunnarsson,"Action,Adventure,Drama,Fantasy","Canada,United Kingdom,Iceland,United States,Australia","English,Latin,Icelandic",103,Intermediate
Berlin Calling,2008,,,1,0,0,0,0,Hannes Stöhr,"Comedy,Drama,Music",Germany,German,100,High
Berlin Kaplanı,2012,,,1,0,0,0,0,Hakan Algül,"Comedy,Family,Sport",Turkey,"Turkish,German",98,Low
Berlin Syndrome,2017,18+,75%,1,0,0,0,0,Cate Shortland,"Drama,Horror,Mystery,Thriller",Australia,"English,German,Russian",116,Intermediate
Berlin Tunnel 21,1981,,,0,0,1,0,0,Richard Michaels,"Drama,Thriller",United States,English,141,High
"Berlin, I Love You",2019,18+,11%,1,0,0,0,0,"Dianna Agron,Peter Chelsom,Claus Clausen,Fernando Eimbcke,Justin Franklin,Dennis Gansel,Dani Levy,Daniel Lwowski,Stephanie Martin,Josef Rusnak,Til Schweiger,Massy Tadjedin,Gabriela Tscherniak","Drama,Romance",Germany,"English,German",120,Low
Bernadette,2012,,,0,0,1,0,0,Richard Linklater,"Comedy,Drama",United States,English,109,High
Bernard and Doris,2006,16+,,0,0,1,0,0,Bob Balaban,"Biography,Comedy,Drama,Romance","United States,United Kingdom",English,102,Intermediate
Bernice Bobs Her Hair,1976,,,0,0,1,0,0,Joan Micklin Silver,Drama,United States,English,45,Intermediate
Bernie,2012,13+,88%,0,0,1,0,0,Richard Linklater,"Biography,Comedy,Crime,Drama",United States,English,99,Intermediate
Bernie the Dolphin,2018,all,,0,1,1,0,0,Kirk Harris,"Adventure,Comedy,Family",Canada,English,88,Low
Berserk: The Golden Age Arc I - The Egg of the King,2012,18+,,1,0,0,0,0,Toshiyuki Kubooka,"Animation,Action,Adventure,Drama,Fantasy,Horror,War",Japan,"Japanese,English",76,High
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,18+,,1,0,0,0,0,Toshiyuki Kubooka,"Animation,Action,Adventure,Fantasy,Horror",Japan,"Japanese,English",95,High
Berserk: The Golden Age Arc III - The Advent,2013,18+,,1,0,0,0,0,Toshiyuki Kubooka,"Animation,Action,Adventure,Fantasy,Horror",Japan,"Japanese,English",110,High
Bert Kreischer: Hey Big Boy,2020,,,1,0,0,0,0,Jeff Tomsic,Comedy,United States,English,62,High
Bert Kreischer: Secret Time,2018,,,1,0,0,0,0,Todd Biermann,Comedy,,,57,High
Bert Kreischer: The Machine,2016,18+,,1,0,0,0,0,Ryan Polito,Comedy,United States,English,70,High
Bert Stern: Original Madman,2011,,,0,0,1,0,0,Shannah Laumeister Stern,Documentary,United States,English,89,Intermediate
Besetment,2016,18+,,0,0,1,0,0,Brad Douglas,"Horror,Thriller",United States,English,76,Low
Beside Bowie: The Mick Ronson Story,2017,,80%,0,0,1,0,0,Jon Brewer,Documentary,United Kingdom,English,102,High
Best and Most Beautiful Things,2016,,81%,0,0,1,0,0,Garrett Zevgetis,Documentary,United States,English,90,Intermediate
Best Day Ever,2014,,,0,0,1,0,0,Jeff London,"Drama,Romance",United States,English,82,Low
Best Friends Forever,2013,,50%,0,0,1,0,0,,Romance,India,Hindi,24,Low
Best Kept Secret,2013,,100%,0,0,1,0,0,Samantha Buck,"Documentary,Drama",United States,English,85,High
Best Neighbors,2014,,,1,0,0,0,0,Tamer Basyuni,Comedy,Egypt,Arabic,102,Low
Best of Enemies,2015,18+,93%,0,1,0,0,0,"Robert Gordon,Morgan Neville","Documentary,Biography,History",United States,English,87,High
Best Worst Friends,2013,,,0,0,1,0,0,"Nicolás López",Comedy,Chile,Spanish,88,Low
Best Worst Movie,2009,,94%,0,0,1,0,0,Michael Paul Stephenson,"Documentary,Comedy,Drama",United States,"English,Italian",93,High
Best Worst Thing That Ever Could Have Happened...,2016,,95%,1,0,0,0,0,Lonny Price,Documentary,United States,English,95,High
Beta,1992,,,0,0,1,0,0,Indra Kumar,"Drama,Romance",India,Hindi,171,Intermediate
Beta Test,2016,,,0,0,1,0,0,Nicholas Gyeney,"Action,Sci-Fi,Thriller",United States,English,88,Intermediate
Bethany,2017,,29%,0,0,1,0,0,James Cullen Bressack,Horror,United States,English,90,Low
Bethany Hamilton: Unstoppable,2019,7+,71%,1,0,0,0,0,Aaron Lieber,"Documentary,Sport",United States,English,100,High
Betrayed,2018,,,0,0,1,0,0,William Castle,"Drama,Film-Noir,Mystery",United States,English,67,Intermediate
Better Watch Out,2016,18+,89%,0,0,1,0,0,Chris Peckover,"Comedy,Crime,Horror,Thriller","Australia,United States",English,89,Intermediate
Betting on Zero,2017,,100%,1,0,0,0,0,Ted Braun,Documentary,United States,"English,Spanish",99,High
Betty Blowtorch: And Her Amazing True Life Adventures,2003,,,0,0,1,0,0,Antonia Scarpa,"Documentary,Drama,Music",United States,English,98,High
Betty White: First Lady of Television,2018,,,1,0,0,0,0,Steve Boettcher,Documentary,United States,English,57,High
Between Love & Goodbye,2009,18+,33%,0,0,1,0,0,Casper Andreas,"Drama,Music,Romance",United States,"English,French",97,Intermediate
Between Strangers,2002,18+,25%,0,0,1,0,0,Edoardo Ponti,Drama,"Canada,Italy",English,95,Intermediate
Between the Folds,2008,all,,0,0,1,0,0,Vanessa Gould,Documentary,United States,English,56,High
Between Two Ferns: The Movie,2019,18+,77%,1,0,0,0,0,Scott Aukerman,Comedy,United States,English,82,Intermediate
Between Two Harbors,2017,,,0,0,1,0,0,Richard Yelland,Documentary,United States,,51,
Between Worlds,2018,18+,29%,1,0,0,0,0,Maria Pulera,"Drama,Fantasy,Thriller",Spain,English,90,Low
Beverly Hills Christmas,2015,7+,,0,0,1,0,0,Brian Skiba,Family,United States,English,86,Low
Bey Yaar,2014,7+,,0,0,1,0,0,Abhishek Jain,"Comedy,Drama,Family",India,Gujarati,150,High
Beyonce: On Top,2018,,,0,0,1,0,0,"Beyoncé,Ed Burke","Short,Music",United States,English,4,
Beyond All Boundaries,2013,,,1,0,0,0,0,David Briggs,"Short,War",United States,English,30,High
Beyond Bengal,1934,,,0,0,1,0,0,Harry Schenck,"Action,Adventure",United States,English,62,Low
Beyond Boundaries: The Harvey Weinstein Scandal,2018,16+,,0,0,1,0,0,Jordan Hill,Documentary,United Kingdom,English,94,Low
Beyond Justice,1992,13+,,0,0,1,0,0,Richard W. Munchkin,"Action,Drama,Thriller",United States,English,97,Low
Beyond Paradise,2015,7+,,0,1,0,0,0,J.J. Alani,"Drama,Romance",United States,English,101,Intermediate
Beyond Skyline,2017,18+,63%,1,0,0,0,0,Liam O'Donnell,"Action,Adventure,Horror,Sci-Fi,Thriller","United Kingdom,China,Canada,Indonesia,Singapore,United States","English,Indonesian",106,Low
Beyond the Clouds,2018,,58%,1,0,0,0,0,"Michelangelo Antonioni,Wim Wenders","Drama,Romance","France,Germany,Italy","French,English,Italian",110,Intermediate
Beyond the Comfort Zone - 13 Countries to K2,2018,,,0,1,1,0,0,Nils Krebs,"Documentary,Adventure",Germany,"English,French,Swiss German",90,Intermediate
Beyond the Gates,2016,13+,83%,0,1,0,0,0,Jackson Stewart,"Adventure,Horror",United States,English,84,Low
Beyond the Line,2019,18+,,0,0,1,0,0,Jason Mills,War,Canada,English,78,Low
